key,es-ES,en-US
LITTLE_QUESTION,Preguntita,Little question
SENDED,Enviado,Sended
HERE,Aquí,Here
DM,MD,DM
READY,¡Listo!,Ready!
ERROR,Error,Error
OPEN_DM,Habilita los mensajes directos (MD),Enable direct messages (DM)
REASON,Razón,Reason
MEMBER,Miembro,Member
STAFF,Staff,Staff
SUCCESSFUL,Éxito,Successful
MESSAGES,Mensajes,Messages
