key,es-ES,en-US
AVATAR_IN_DM_OR_HERE,¿Quieres que muestre el avatar aquí o te lo envio al MD?,Do you want me to show the avatar here or send it to your DM?
AVATAR_OF,Avatar de {user},{user}'s avatar
AVATAR_REQUESTED_BY,Avatar solicitado por {user},Avatar requested by {user}
