key,es-ES,en-US
CALCULATED,Calculando,Calculated,
WAIT_MOMENT,Espera un momento,Wait a moment
STATISTICS,Estadísticas,Statistics
CURRENT_PING,Ping actual,Current ping
CURRENT_RAM,Ram actual,Current Ram
CURRENT_LANGUAGE,Actualmente respondo los mensajes en español,I currently answer messages in English (US)
